Plugin,Version,Hive,Description,Column1,Column2
base,20200427,All,Parse base info from hive,,
baseline,20130211,All,Scans a hive file, checking sizes of binary value data,
del,20200515,All,Parse hive, print deleted keys/values,
del_tln,20190506,All,Parse hive, print deleted keys/values,
fileless,20200525,All,Scans a hive file looking for fileless malware entries,,
findexes,20200525,All,Scans a hive file looking for binary value data that contains MZ,,
null,20160119,All,Check key/value names in a hive for leading null char,,
rlo,20200517,All,Parse hive, check key/value names for RLO character,
sizes,20200517,All,Scans a hive file looking for binary value data of a min size (5000),,
slack,20200517,All,Parse hive, print slack space, retrieve keys/values
slack_tln,20190506,All,Parse hive, print slack space, retrieve keys/values
amcache,20200515,amcache,Parse AmCache.hve file,,
amcache_tln,20180311,amcache,Parse AmCache.hve file,,
adobe,20200522,NTUSER.DAT,Gets user's Adobe app cRecentFiles values,,
appassoc,20200515,NTUSER.DAT,Gets contents of user's ApplicationAssociationToasts key,,
applets,20200525,NTUSER.DAT,Gets contents of user's Applets key,,
applets_tln,20120613,NTUSER.DAT,Gets contents of user's Applets key (TLN),,
apppaths,20200511,NTUSER.DAT,Software,Gets content of App Paths subkeys,
appspecific,20200515,NTUSER.DAT,Gets contents of user's Intellipoint\AppSpecific subkeys,,
appx,20200427,NTUSER.DAT, USRCLASS.DAT,Checks for persistence via Universal Windows Platform Apps,
appx_tln,20191014,NTUSER.DAT, USRCLASS.DAT,Checks for persistence via Universal Windows Platform Apps,
arpcache,20200515,NTUSER.DAT,Retrieves CurrentVersion\App Management\ARPCache entries,,
attachmgr,20200525,NTUSER.DAT,Checks user's keys that manage the Attachment Manager functionality,,
attachmgr_tln,20130425,NTUSER.DAT,Checks user's keys that manage the Attachment Manager functionality (TLN),,
cached,20200525,NTUSER.DAT,Gets cached Shell Extensions from NTUSER.DAT hive,,
cached_tln,20150608,NTUSER.DAT,Gets cached Shell Extensions from NTUSER.DAT hive (TLN),,
cmdproc,20200515,NTUSER.DAT,Autostart - get Command Processor\AutoRun value from NTUSER.DAT hive,,
cmdproc_tln,20130425,NTUSER.DAT,Autostart - get Command Processor\AutoRun value from NTUSER.DAT hive (TLN),,
comdlg32,20200517,NTUSER.DAT,Gets contents of user's ComDlg32 key,,
compdesc,20200511,NTUSER.DAT,Gets contents of user's ComputerDescriptions key,,
ddo,20140414,NTUSER.DAT,Gets user's DeviceDisplayObjects key contents,,
featureusage,20200511,NTUSER.DAT,Extracts user's FeatureUsage data.,,
heidisql,20201227,NTUSER.DAT,Gets user's heidisql data,,
iconlayouts,20211001,NTUSER.DAT,Shell/Bag/1/Desktop - Iconlayouts,,
identities,20200525,NTUSER.DAT,Extracts values from Identities key; NTUSER.DAT,,
jumplistdata,20200517,NTUSER.DAT,Gets contents of user's JumpListData key,,
knowndev,20200515,NTUSER.DAT,Gets user's KnownDevices key contents,,
listsoft,20200517,NTUSER.DAT,Lists contents of user's Software key,,
load,20200517,NTUSER.DAT,Gets load and run values from user hive,,
logonstats,20200517,NTUSER.DAT,Gets contents of user's LogonStats key,,
lxss,20200511,NTUSER.DAT,Gets WSL config.,,
lxss_tln,20140723,NTUSER.DAT,Gets WSL config.,,
mixer,20200517,NTUSER.DAT,Checks user's audio mixer settings,,
mixer_tln,20141112,NTUSER.DAT,Checks user's audio mixer info,,
mmc,20200517,NTUSER.DAT,Get contents of user's MMC\Recent File List key,,
mmc_tln,20120828,NTUSER.DAT,Get contents of user's MMC\Recent File List key (TLN),,
mmo,20200517,NTUSER.DAT,Checks NTUSER for Multimedia\Other values [malware],,
mndmru,20200517,NTUSER.DAT,Get contents of user's Map Network Drive MRU,,
mndmru_tln,20120829,NTUSER.DAT,Get user's Map Network Drive MRU (TLN),,
mp2,20200526,NTUSER.DAT,Gets user's MountPoints2 key contents,,
mp2_tln,20200525,NTUSER.DAT,Gets user's MountPoints2 key contents,,
mpmru,20200517,NTUSER.DAT,Gets user's Media Player RecentFileList values,,
msoffice,20200518,NTUSER.DAT,Get user's MSOffice content,,
msoffice_tln,20200518,NTUSER.DAT,Get user's MSOffice content,,
muicache,20200525,NTUSER.DAT,USRCLASS.DAT,Gets EXEs from user's MUICache key,
muicache_tln,20130425,NTUSER.DAT,USRCLASS.DAT,Gets EXEs from user's MUICache key (TLN),
nation,20200517,ntuser.dat,Gets region information from HKCU,,
oisc,20091125,NTUSER.DAT,Gets contents of user's Office Internet Server Cache,,
onedrive,20200515,NTUSER.DAT,Gets contents of user's OneDrive key,,
onedrive_tln,20190823,NTUSER.DAT,Gets contents of user's OneDrive key,,
osversion,20200511,NTUSER.DAT,Checks for OSVersion value,,
osversion_tln,20120608,NTUSER.DAT,Checks for OSVersion value (TLN),,
pendinggpos,20200427,NTUSER.DAT,Gets contents of user's PendingGPOs key,,
profiler,20200525,NTUSER.DAT, System,Environment profiler information,
putty,20200515,NTUSER.DAT,Extracts the saved SshHostKeys for PuTTY.,,
recentapps,20200515,NTUSER.DAT,Gets contents of user's RecentApps key,,
recentapps_tln,20190513,NTUSER.DAT,Gets contents of user's RecentApps key,,
recentdocs,20200427,NTUSER.DAT,Gets contents of user's RecentDocs key,,
recentdocs_tln,20140220,NTUSER.DAT,Gets contents of user's RecentDocs key (TLN),,
runmru,20200525,NTUSER.DAT,Gets contents of user's RunMRU key,,
runmru_tln,20120828,NTUSER.DAT,Gets contents of user's RunMRU key (TLN),,
searchscopes,20200517,NTUSER.DAT,Gets contents of user's SearchScopes key,,
sevenzip,20210329,NTUSER.DAT,Gets records of histories from 7-Zip keys,,
shc,20200427,NTUSER.DAT,Gets SHC entries from user hive,,
shellfolders,20200515,NTUSER.DAT,Gets user's shell folders values,,
speech,20200427,NTUSER.DAT,Get values from user's Speech key,,
speech_tln,20191010,NTUSER.DAT,Get values from user's Speech key,,
sysinternals,20080324,NTUSER.DAT,Checks for SysInternals apps keys,,
sysinternals_tln,20080324,NTUSER.DAT,Checks for SysInternals apps keys (TLN),,
tsclient,20200518,NTUSER.DAT,Displays contents of user's Terminal Server Client\Default key,,
tsclient_tln,20120827,NTUSER.DAT,Displays contents of user's Terminal Server Client key (TLN),,
typedpaths,20200526,NTUSER.DAT,Gets contents of user's typedpaths key,,
typedpaths_tln,20120828,NTUSER.DAT,Gets contents of user's typedpaths key (TLN),,
typedurls,20200526,NTUSER.DAT,Returns contents of user's TypedURLs key.,,
typedurlstime,20200526,NTUSER.DAT,Returns contents of user's TypedURLsTime key.,,
typedurlstime_tln,20120613,NTUSER.DAT,Returns contents of Win8 user's TypedURLsTime key (TLN).,,
typedurls_tln,20120827,NTUSER.DAT,Returns MRU for user's TypedURLs key (TLN),,
userassist,20170204,NTUSER.DAT,Displays contents of UserAssist subkeys,,
userassist_tln,20180710,NTUSER.DAT,Displays contents of UserAssist subkeys in TLN format,,
wc_shares,20200515,NTUSER.DAT,Gets contents of user's WorkgroupCrawler/Shares subkeys,,
winrar,20200526,NTUSER.DAT,Get WinRAR\ArcHistory entries,,
winrar_tln,20120829,NTUSER.DAT,Get WinRAR\ArcHistory entries (TLN),,
winscp,20201227,NTUSER.DAT,Gets user's WinSCP 2 data,,
winzip,20200526,NTUSER.DAT,Get WinZip extract and filemenu values,,
wordwheelquery,20200823,NTUSER.DAT,Gets contents of user's WordWheelQuery key,,
wordwheelquery_tln,20200824,NTUSER.DAT,Gets contents of user's WordWheelQuery key,,
allowedenum,20200511,NTUSER.DAT Software,Extracts AllowedEnumeration values to determine hidden special folders,,
appcompatflags,20200525,NTUSER.DAT Software,Extracts AppCompatFlags for Windows.,,
appkeys,20200517,NTUSER.DAT Software,Extracts AppKeys entries.,,
appkeys_tln,20180920,NTUSER.DAT Software,Extracts AppKeys entries.,,
apppaths_tln,20130429,NTUSER.DAT Software,Gets content of App Paths subkeys (TLN),,
disablemru,20190924,NTUSER.DAT Software,Checks settings disabling user's MRUs,,
injectdll64,20200427,NTUSER.DAT Software,Retrieve values set to weaken Chrome security,,
outlook_homepage,20201002,NTUSER.DAT Software,Retrieve values set to attack Outlook WebView Homepage,,
pslogging,20200515,NTUSER.DAT Software,Extracts PowerShell logging settings,,
runvirtual,20200427,NTUSER.DAT Software,Gets RunVirtual entries,,
runvirtual_tln,20191211,NTUSER.DAT Software,Gets RunVirtual entries,,
samparse,20200825,SAM,Parse SAM file for user & group mbrshp info,,
samparse_tln,20200826,SAM,Parse SAM file for user acct info (TLN),,
auditpol,20200515,Security,Get audit policy from the Security hive file,,
secrets,20200517,Security,Get the last write time for the Policy\Secrets key,,
secrets_tln,20140814,Security,Get the last write time for the Policy\Secrets key,,
appinitdlls,20200427,Software,Gets contents of AppInit_DLLs value,,
at,20200525,Software,Checks Software hive for AT jobs,,
at_tln,20140821,Software,Checks Software hive for AT jobs,,
audiodev,20200525,Software,Gets audio capture/render devices,,
btconfig,20200526,Software,Determines BlueTooth devices 'seen' by BroadComm drivers,,
calibrator,20200427,Software,Checks DisplayCalibrator value (possible bypass assoc with LockBit ransomware),,
clsid,20200526,Software, USRCLASS.DAT,Get list of CLSID/registered classes,
cmd_shell,20200515,Software,Gets shell open cmds for various file types,,
dcom,20200525,Software,Check DCOM Ports,,
defender,20200427,Software,Get Windows Defender settings,,
direct,20200515,Software,Searches Direct* keys for MostRecentApplication subkeys,,
direct_tln,20190911,Software,Searches Direct* keys for MostRecentApplication subkeys (TLN),,
disablesr,20200515,Software,Gets the value that turns System Restore either on or off,,
drivers32,20200525,Software,Get values from the Drivers32 key,,
emdmgmt,20200511,Software,Gets contents of EMDMgmt subkeys and values,,
execpolicy,20200517,Software,Gets PowerShell Execution Policy,,
gpohist,,Software,Collects system/user GPO history,,
gpohist_tln,,Software,Collects system/user GPO history (TLN),,
heap,20200427,Software,Checks HeapLeakDetection\DiagnosedApplications Subkeys,,
ica_sessions,20200528,Software,ARETE ONLY - Extracts Citrix ICA Session info,,
